"","TEST_NAME","Group","n","Normal","SE","t score","Mean","Mean Deviation","Z Dist 2.5%","2.5%","LOA Lower","Lower Median CI","LOA Lower Mean","Wilcox Lower Median CI","median","median2","Upper Median CI","LOA Upper Mean","Wilcox Upper Median CI","97.5%","LOA Upper","Z Dist 97.5%","Upper SD CI formula","Upper SD CI CHI","Upper SD CI BA","sd","lower SD CI BA","Lower SD CI CHI","Lower formula","Scale"
"1","CA","24-Hour Samples"," 36.000","0.657","0.285","2.030"," 0.008","1.381","-3.409","-3.112","-3.409","-0.570","-0.570","-0.550"," 0.100"," 0.100","0.586","0.575","0.650","2.937","3.426","3.426","2.229","2.229","0.567","1.709","-0.567","1.386","1.386","large"
"2","CA","8-Hour Samples"," 36.000","0.070","0.204","2.030"," 0.036","0.908","-2.415","-3.000","-2.415","-0.379","-0.379","-0.300"," 0.000"," 0.000","0.451","0.443","0.500","1.938","2.488","2.488","1.599","1.599","0.407","1.226","-0.407","0.994","0.994","large"
"3","CA","Replicates","336.000","0.000","0.084","1.967","-0.082","1.020","-3.168","-3.100","-3.168","-0.249","-0.247","-0.250","-0.100","-0.100","0.086","0.086","0.050","3.300","3.005","3.005","   NA","1.671","0.168","1.543","-0.168","1.434","   NA","large"
"4","CL","24-Hour Samples"," 36.000","0.001","0.631","2.030","-0.339","2.467","-7.905","-6.925","-7.905","-1.619","-1.619","-1.600","-0.300","-0.300","0.941","0.916","0.900","8.000","7.227","7.227","4.935","4.935","1.255","3.783","-1.255","3.068","3.068","large"
"5","CL","8-Hour Samples"," 36.000","0.080","0.520","2.030","-0.006","2.222","-6.244","-6.287","-6.244","-1.061","-1.061","-1.000"," 0.050"," 0.050","1.050","1.029","1.000","6.000","6.233","6.233","4.069","4.069","1.035","3.119","-1.035","2.530","2.530","large"
"6","CL","Replicates","249.000","0.000","0.113","1.970","-0.104","0.768","-3.678","-3.850","-3.678","-0.328","-0.327","-0.400"," 0.000"," 0.000","0.119","0.121","0.000","3.000","3.469","3.469","   NA","1.960","0.225","1.787","-0.225","1.642","   NA","large"
"7","COLOR","24-Hour Samples"," 36.000","0.028","0.212","2.030","-0.250","0.917","-2.797","-3.000","-2.797","-0.681","-0.681","-1.000","0.000","0.000"," 0.181"," 0.172","0.000","2.125","2.297","2.297","1.661","1.661","0.422","1.273","-0.422","1.033","1.033","large"
"8","COLOR","8-Hour Samples"," 36.000","0.000","0.205","2.030","-0.528","0.861","-2.988","-2.375","-2.988","-0.944","-0.944","-1.500","0.000","0.000","-0.112","-0.120","0.000","1.125","1.933","1.933","1.605","1.605","0.408","1.230","-0.408","0.998","0.998","large"
"9","COLOR","Replicates","126.000","0.000","0.186","1.979"," 0.083","1.200","-4.102","-3.000","-4.102","-0.295","-0.286","-0.500","0.000","0.000"," 0.462"," 0.454","0.000","3.025","4.269","4.269","   NA","2.397","0.371","2.093","-0.371","1.857","   NA","large"
"10","DOC","24-Hour Samples"," 36.000","0.635","0.099","2.030","-0.197","0.481","-1.381","-1.138","-1.381","-0.398","-0.398","-0.500","-0.200","-0.200","0.003","-0.001","0.000","1.113","0.987","0.987","0.772","0.772","0.196","0.592","-0.196","0.480","0.480","medium large"
"11","DOC","8-Hour Samples"," 36.000","0.000","0.152","2.030","-0.108","0.575","-1.933","-2.713","-1.933","-0.417","-0.417","-0.250"," 0.100"," 0.100","0.200"," 0.194","0.250","1.163","1.717","1.717","1.190","1.190","0.303","0.913","-0.303","0.740","0.740","medium large"
"12","DOC","Replicates","135.000","0.128","0.046","1.978","-0.082","0.407","-1.144","-1.150","-1.144","-0.173","-0.172","-0.200","-0.100","-0.100","0.010"," 0.009","0.000","0.975","0.981","0.981","   NA","0.605","0.091","0.531","-0.091","0.474","   NA","medium large"
"13","K","24-Hour Samples"," 36.000","0.087","0.031","2.030","-0.036","0.136","-0.410","-0.312","-0.410","-0.099","-0.099","-0.150","0.000","0.000","0.027","0.026","0.050","0.325","0.338","0.338","0.244","0.244","0.062","0.187","-0.062","0.152","0.152","medium small"
"14","K","8-Hour Samples"," 36.000","0.003","0.021","2.030","-0.008","0.092","-0.258","-0.225","-0.258","-0.051","-0.051","-0.100","0.000","0.000","0.034","0.033","0.050","0.200","0.242","0.242","0.163","0.163","0.041","0.125","-0.041","0.101","0.101","medium small"
"15","K","Replicates","228.000","0.000","0.015","1.970","-0.007","0.133","-0.458","-0.500","-0.458","-0.037","-0.037","-0.050","0.000","0.000","0.023","0.022","0.000","0.400","0.443","0.443","   NA","0.249","0.030","0.225","-0.030","0.206","   NA","medium small"
"16","MG","24-Hour Samples"," 36.000","0.050","0.081","2.030","0.031","0.347","-0.940","-0.725","-0.940","-0.134","-0.134","-0.150","0.000","0.000","0.195","0.191","0.200","1.150","1.001","1.001","0.633","0.633","0.161","0.485","-0.161","0.393","0.393","medium"
"17","MG","8-Hour Samples"," 36.000","0.166","0.055","2.030","0.014","0.264","-0.645","-0.712","-0.645","-0.098","-0.098","-0.100","0.100","0.100","0.125","0.123","0.150","0.525","0.673","0.673","0.430","0.430","0.109","0.330","-0.109","0.267","0.267","medium"
"18","MG","Replicates","216.000","0.000","0.032","1.971","0.010","0.313","-0.941","-1.055","-0.941","-0.055","-0.054","-0.050","0.000","0.000","0.075","0.074","0.100","1.177","0.961","0.961","   NA","0.526","0.064","0.476","-0.064","0.434","   NA","medium"
"19","NA","24-Hour Samples"," 36.000","0.833","0.293","2.030","-0.047","1.375","-3.568","-3.238","-3.568","-0.643","-0.643","-0.700","-0.050","-0.050","0.548","0.537","0.600","2.862","3.473","3.473","2.296","2.296","0.584","1.760","-0.584","1.428","1.428","medium large"
"20","NA","8-Hour Samples"," 36.000","0.552","0.201","2.030"," 0.017","0.906","-2.398","-1.975","-2.398","-0.392","-0.392","-0.400"," 0.000"," 0.000","0.425","0.417","0.400","2.425","2.432","2.432","1.575","1.575","0.400","1.207","-0.400","0.979","0.979","medium large"
"21","NA","Replicates","243.000","0.000","0.130","1.970","-0.078","1.362","-4.123","-4.460","-4.123","-0.338","-0.333","-0.250","-0.100","-0.100","0.182","0.180","0.150","4.430","3.967","3.967","   NA","2.224","0.258","2.022","-0.258","1.855","   NA","medium large"
"22","NH4","24-Hour Samples"," 36.000","0.000","0.002","2.030","0.004","0.006","-0.015","-0.008","-0.015"," 0.000"," 0.000"," 0.000","0.002","0.002","0.007","0.007","0.005","0.023","0.022","0.022","0.012","0.012","0.003","0.009","-0.003","0.008","0.008","small"
"23","NH4","8-Hour Samples"," 36.000","0.000","0.002","2.030","0.002","0.007","-0.020","-0.015","-0.020","-0.002","-0.002","-0.001","0.001","0.001","0.005","0.005","0.003","0.024","0.024","0.024","0.014","0.014","0.004","0.011","-0.004","0.009","0.009","small"
"24","NH4","Replicates","309.000","0.000","0.000","1.968","0.000","0.003","-0.012","-0.011","-0.012","-0.001","-0.001","-0.001","0.000","0.000","0.001","0.001","0.000","0.016","0.012","0.012","   NA","0.007","0.001","0.006","-0.001","0.006","   NA","small"
"25","NO2","24-Hour Samples"," 36.000","0.000","0.000","2.030","0.000","0.000","-0.002","-0.002","-0.002","0.000","0.000","-0.001","0.000","0.000","0.000","0.000","0.002","0.002","0.002","0.002","0.001","0.001","0.000","0.001","0.000","0.001","0.001","very small"
"26","NO2","8-Hour Samples"," 36.000","0.000","0.000","2.030","0.000","0.000","-0.002","-0.002","-0.002","0.000","0.000","-0.002","0.000","0.000","0.000","0.000","0.002","0.002","0.002","0.002","0.001","0.001","0.000","0.001","0.000","0.001","0.001","very small"
"27","NO2","Replicates","384.000","0.000","0.000","1.966","0.000","0.001","-0.003","-0.002","-0.003","0.000","0.000","-0.001","0.000","0.000","0.000","0.000","0.000","0.002","0.003","0.003","   NA","0.002","0.000","0.001","0.000","0.001","   NA","very small"
"28","NOX","24-Hour Samples"," 36.000","0.000","0.000","2.030","-0.001","0.001","-0.005","-0.006","-0.005","-0.001","-0.001","-0.004","0.000","0.000","0.000","0.000","0.001","0.003","0.004","0.004","0.003","0.003","0.001","0.002","-0.001","0.002","0.002","small"
"29","NOX","8-Hour Samples"," 36.000","0.000","0.001","2.030"," 0.000","0.001","-0.006","-0.004","-0.006","-0.001","-0.001","-0.003","0.000","0.000","0.001","0.001","0.004","0.010","0.006","0.006","0.004","0.004","0.001","0.003","-0.001","0.002","0.002","small"
"30","NOX","Replicates","171.000","0.000","0.000","1.974"," 0.001","0.003","-0.010","-0.006","-0.010"," 0.000"," 0.000"," 0.001","0.000","0.000","0.002","0.002","0.002","0.008","0.012","0.012","   NA","0.006","0.001","0.005","-0.001","0.005","   NA","small"
"31","OPO4","24-Hour Samples"," 36.000","0.000","0.000","2.030","0.000","0.000","-0.001","-0.002","-0.001","0.000","0.000","   NaN","0.000","0.000","0.000","0.000","   NaN","0.000","0.001","0.001","0.001","0.001","0.000","0.000","0.000","0.000","0.000","very small"
"32","OPO4","8-Hour Samples"," 36.000","0.000","0.000","2.030","0.000","0.000","-0.001","-0.001","-0.001","0.000","0.000","-0.001","0.000","0.000","0.000","0.000","-0.001","0.000","0.001","0.001","0.000","0.000","0.000","0.000","0.000","0.000","0.000","very small"
"33","OPO4","Replicates","411.000","0.000","0.000","1.966","0.000","0.000","-0.002","-0.002","-0.002","0.000","0.000","-0.002","0.000","0.000","0.000","0.000"," 0.000","0.001","0.002","0.002","   NA","0.001","0.000","0.001","0.000","0.001","   NA","very small"
"34","SIO2","24-Hour Samples"," 36.000","0.030","0.020","2.030","0.047","0.090","-0.191","-0.213","-0.191"," 0.007"," 0.007"," 0.010","0.010","0.010","0.087","0.086","0.125","0.213","0.285","0.285","0.155","0.155","0.040","0.119","-0.040","0.097","0.097","medium"
"35","SIO2","8-Hour Samples"," 36.000","0.098","0.018","2.030","0.026","0.082","-0.187","-0.113","-0.187","-0.010","-0.010"," 0.000","0.000","0.000","0.062","0.062","0.100","0.213","0.239","0.239","0.139","0.139","0.035","0.106","-0.035","0.086","0.086","medium"
"36","SIO2","Replicates","111.000","0.000","0.025","1.982","0.001","0.116","-0.517","-0.323","-0.517","-0.049","-0.048","-0.030","0.000","0.000","0.052","0.050","0.100","0.400","0.519","0.519","   NA","0.300","0.049","0.259","-0.049","0.228","   NA","medium"
"37","SO4","24-Hour Samples"," 36.000","0.000","0.246","2.030","-0.308","0.864","-3.261","-3.800","-3.261","-0.808","-0.808","-1.150","0.100","0.100","0.191","0.181","0.300","1.400","2.644","2.644","1.926","1.926","0.490","1.476","-0.490","1.197","1.197","medium large"
"38","SO4","8-Hour Samples"," 36.000","0.000","0.148","2.030","-0.086","0.464","-1.856","-2.900","-1.856","-0.386","-0.386","-0.100","0.100","0.100","0.213","0.207","0.250","0.750","1.684","1.684","1.155","1.155","0.294","0.885","-0.294","0.718","0.718","medium large"
"39","SO4","Replicates","174.000","0.000","0.068","1.974"," 0.080","0.398","-1.720","-1.103","-1.720","-0.054","-0.054"," 0.000","0.000","0.000","0.215","0.216","0.100","1.267","1.881","1.881","1.006","1.006","0.136","0.900","-0.136","0.815","0.815","medium large"
"40","TDN","24-Hour Samples","36.000","0.005","0.007","2.030","-0.022","0.034","-0.106","-0.084","-0.106","-0.036","-0.036","-0.035","-0.020","-0.020","-0.008","-0.008","-0.010","0.053","0.062","0.062","0.055","0.055","0.014","0.042","-0.014","0.034","0.034","medium small"
"41","TDN","8-Hour Samples","36.000","0.041","0.005","2.030"," 0.001","0.021","-0.056","-0.062","-0.056","-0.009","-0.009","-0.010"," 0.000"," 0.000"," 0.011"," 0.010"," 0.020","0.042","0.058","0.058","0.037","0.037","0.009","0.029","-0.009","0.023","0.023","medium small"
"42","TDN","Replicates","96.000","0.000","0.007","1.985"," 0.005","0.041","-0.136","-0.089","-0.136","-0.011","-0.009","-0.005"," 0.000"," 0.000"," 0.020"," 0.019"," 0.015","0.089","0.146","0.146","   NA","0.083","0.014","0.071","-0.014","0.061","   NA","medium small"
"43","TDPO4","24-Hour Samples"," 36.000","0.000","0.000","2.030","-0.001","0.001","-0.004","-0.004","-0.004","-0.001","-0.001","-0.003"," 0.000"," 0.000","0.000","0.000"," 0.000","0.001","0.002","0.002","0.002","0.002","0.001","0.002","-0.001","0.001","0.001","very small"
"44","TDPO4","8-Hour Samples"," 36.000","0.001","0.000","2.030","-0.001","0.001","-0.003","-0.003","-0.003","-0.001","-0.001","-0.002","-0.001","-0.001","0.000","0.000","-0.001","0.001","0.001","0.001","0.001","0.001","0.000","0.001"," 0.000","0.001","0.001","very small"
"45","TDPO4","Replicates","384.000","0.000","0.000","1.966"," 0.000","0.001","-0.003","-0.002","-0.003"," 0.000"," 0.000"," 0.000"," 0.000"," 0.000","0.000","0.000"," 0.000","0.002","0.003","0.003","   NA","0.002","0.000","0.001"," 0.000","0.001","   NA","very small"
"46","TDSFE","24-Hour Samples","36.000","0.000","0.000","2.030","0.000","0.001","-0.003","-0.001","-0.003"," 0.000"," 0.000","-0.001","0.000","0.000","0.001","0.001","0.002","0.003","0.003","0.003","0.002","0.002","0.000","0.001"," 0.000","0.001","0.001","small"
"47","TDSFE","8-Hour Samples","36.000","0.000","0.000","2.030","0.000","0.001","-0.004","-0.004","-0.004","-0.001","-0.001","-0.002","0.000","0.000","0.000","0.000","0.000","0.003","0.003","0.003","0.003","0.003","0.001","0.002","-0.001","0.002","0.002","small"
"48","TDSFE","Replicates","96.000","0.000","0.000","1.985","0.000","0.000","-0.001","-0.001","-0.001"," 0.000"," 0.000","-0.001","0.000","0.000","0.000","0.000","0.001","0.001","0.001","0.001","   NA","0.001","0.000","0.000"," 0.000","0.000","   NA","small"
"49","TN","24-Hour Samples"," 36.000","0.143","0.005","2.030","-0.009","0.023","-0.071","-0.070","-0.071","-0.020","-0.020","-0.025","-0.005","-0.005","0.001","0.001","0.005","0.041","0.052","0.052","0.040","0.040","0.010","0.031","-0.010","0.025","0.025","medium small"
"50","TN","8-Hour Samples"," 36.000","0.003","0.008","2.030"," 0.016","0.035","-0.077","-0.045","-0.077"," 0.000"," 0.000"," 0.000"," 0.020"," 0.020","0.032","0.031","0.030","0.094","0.109","0.109","0.061","0.061","0.015","0.047","-0.015","0.038","0.038","medium small"
"51","TN","Replicates","162.000","0.000","0.006","1.975"," 0.004","0.048","-0.157","-0.184","-0.157","-0.009","-0.009","-0.005"," 0.000"," 0.000","0.017","0.016","0.010","0.150","0.165","0.165","   NA","0.091","0.013","0.080","-0.013","0.072","   NA","medium small"
"52","TOC","24-Hour Samples"," 36.000","0.082","0.112","2.030","-0.075","0.558","-1.416","-1.412","-1.416","-0.302","-0.302","-0.300"," 0.100"," 0.100"," 0.152"," 0.147"," 0.200","0.813","1.266","1.266","0.874","0.874","0.222","0.670","-0.222","0.544","0.544","medium"
"53","TOC","8-Hour Samples"," 36.000","0.000","0.118","2.030","-0.197","0.464","-1.619","-2.062","-1.619","-0.438","-0.438","-0.450"," 0.000"," 0.000"," 0.043"," 0.039"," 0.150","0.600","1.225","1.225","0.927","0.927","0.236","0.711","-0.236","0.577","0.577","medium"
"54","TOC","Replicates","111.000","0.027","0.054","1.982","-0.162","0.436","-1.294","-1.513","-1.294","-0.271","-0.269","-0.300","-0.150","-0.150","-0.053","-0.055","-0.050","0.800","0.970","0.970","   NA","0.654","0.107","0.566","-0.107","0.499","   NA","medium"
"55","TPO4","24-Hour Samples"," 36.000","0.000","0.000","2.030","0.000","0.001","-0.002","-0.001","-0.002"," 0.000"," 0.000"," 0.000","0.000","0.000","0.001","0.001","0.002","0.003","0.003","0.003","0.002","0.002","0.000","0.001"," 0.000","0.001","0.001","small"
"56","TPO4","8-Hour Samples"," 36.000","0.000","0.000","2.030","0.000","0.001","-0.005","-0.004","-0.005","-0.001","-0.001","-0.001","0.000","0.000","0.001","0.001","0.001","0.003","0.005","0.005","0.004","0.004","0.001","0.003","-0.001","0.002","0.002","small"
"57","TPO4","Replicates","510.000","0.000","0.000","1.965","0.000","0.002","-0.006","-0.004","-0.006"," 0.000"," 0.000"," 0.000","0.000","0.000","0.001","0.001","0.001","0.008","0.007","0.007","   NA","0.004","0.000","0.003"," 0.000","0.003","   NA","small"
